file,type,line,frame
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/performance/performance_test.js,Conditional Test Logic,"{'line': 2, 'column': 2, 'index': 39}","  1 | describe('performance', function() {
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/SpecSpec.js,Unknown Test,"{'column': 2, 'line': 286}","  284 |   });
  285 |
> 286 |   it('does not throw an ExpectationFailed error when handling an error', function() {
      |  ^ Unknown Test
  287 |     const resultCallback = jasmine.createSpy('resultCallback'),
  288 |       spec = new jasmineUnderTest.Spec({
  289 |         queueableFn: { fn: function() {} },"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Conditional Test Logic,"{'line': 1391, 'column': 10, 'index': 36574}","  1389 |       env.describe('suite0', function() {
  1390 |         env.it('spec1', function() {
> 1391 |           if (firstExecution) {
       |          ^ Conditional Test Logic
  1392 |             env.expect(1).toBe(2);
  1393 |           }
  1394 |         });"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Conditional Test Logic,"{'line': 1397, 'column': 12, 'index': 36750}","  1395 |         env.describe('suite1', function() {
  1396 |           env.it('spec2', function() {
> 1397 |             if (firstExecution) {
       |            ^ Conditional Test Logic
  1398 |               env.pending();
  1399 |             }
  1400 |           });"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Conditional Test Logic,"{'line': 1405, 'column': 12, 'index': 36997}","  1403 |         env.describe('suite2', function() {
  1404 |           env.it('spec4', function() {
> 1405 |             if (firstExecution) {
       |            ^ Conditional Test Logic
  1406 |               throw new Error('spec 3 fails');
  1407 |             }
  1408 |           });"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 59, 'column': 4, 'index': 1511}","  57 |     });
  58 |
> 59 |     expect(foo).toEqual(0);
     |    ^ Duplicate Assert
  60 |     expect(bar).toEqual(0);
  61 |     expect(baz).toEqual(0);
  62 |     expect(quux).toEqual(0);"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 60, 'column': 4, 'index': 1539}","  58 |
  59 |     expect(foo).toEqual(0);
> 60 |     expect(bar).toEqual(0);
     |    ^ Duplicate Assert
  61 |     expect(baz).toEqual(0);
  62 |     expect(quux).toEqual(0);
  63 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 61, 'column': 4, 'index': 1567}","  59 |     expect(foo).toEqual(0);
  60 |     expect(bar).toEqual(0);
> 61 |     expect(baz).toEqual(0);
     |    ^ Duplicate Assert
  62 |     expect(quux).toEqual(0);
  63 |
  64 |     await env.execute();"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 62, 'column': 4, 'index': 1595}","  60 |     expect(bar).toEqual(0);
  61 |     expect(baz).toEqual(0);
> 62 |     expect(quux).toEqual(0);
     |    ^ Duplicate Assert
  63 |
  64 |     await env.execute();
  65 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 66, 'column': 4, 'index': 1651}","  64 |     await env.execute();
  65 |
> 66 |     expect(foo).toEqual(1);
     |    ^ Duplicate Assert
  67 |     expect(bar).toEqual(1);
  68 |     expect(baz).toEqual(1);
  69 |     expect(quux).toEqual(1);"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 67, 'column': 4, 'index': 1679}","  65 |
  66 |     expect(foo).toEqual(1);
> 67 |     expect(bar).toEqual(1);
     |    ^ Duplicate Assert
  68 |     expect(baz).toEqual(1);
  69 |     expect(quux).toEqual(1);
  70 |   });"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 68, 'column': 4, 'index': 1707}","  66 |     expect(foo).toEqual(1);
  67 |     expect(bar).toEqual(1);
> 68 |     expect(baz).toEqual(1);
     |    ^ Duplicate Assert
  69 |     expect(quux).toEqual(1);
  70 |   });
  71 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 69, 'column': 4, 'index': 1735}","  67 |     expect(bar).toEqual(1);
  68 |     expect(baz).toEqual(1);
> 69 |     expect(quux).toEqual(1);
     |    ^ Duplicate Assert
  70 |   });
  71 |
  72 |   it('should permit nested describes', async function() {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 565, 'column': 12, 'index': 13877}","  563 |         env.describe('inner1', function() {
  564 |           env.it('should thingy', function() {
> 565 |             this.expect(true).toEqual(true);
      |            ^ Duplicate Assert
  566 |           });
  567 |
  568 |           throw new Error('inner error');"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 573, 'column': 12, 'index': 14089}","  571 |         env.describe('inner2', function() {
  572 |           env.it('should other thingy', function() {
> 573 |             this.expect(true).toEqual(true);
      |            ^ Duplicate Assert
  574 |           });
  575 |         });
  576 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 583, 'column': 8, 'index': 14310}","  581 |     env.describe('outer2', function() {
  582 |       env.it('should xxx', function() {
> 583 |         this.expect(true).toEqual(true);
      |        ^ Duplicate Assert
  584 |       });
  585 |     });
  586 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 595, 'column': 4, 'index': 14565}","  593 |       'outer2 should xxx'
  594 |     ]);
> 595 |     expect(reporter.suiteDone).toHaveFailedExpectationsForRunnable(
      |    ^ Duplicate Assert
  596 |       'outer1 inner1',
  597 |       [/inner error/]
  598 |     );"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 599, 'column': 4, 'index': 14685}","  597 |       [/inner error/]
  598 |     );
> 599 |     expect(reporter.suiteDone).toHaveFailedExpectationsForRunnable('outer1', [
      |    ^ Duplicate Assert
  600 |       /outer error/
  601 |     ]);
  602 |   });"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 1111, 'column': 6, 'index': 28135}","  1109 |       );
  1110 |
> 1111 |       expect(reporter.specStarted).toHaveBeenCalledWith(
       |      ^ Duplicate Assert
  1112 |         jasmine.objectContaining({
  1113 |           fullName: 'a spec'
  1114 |         })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 1116, 'column': 6, 'index': 28276}","  1114 |         })
  1115 |       );
> 1116 |       expect(reporter.specDone).toHaveBeenCalledWith(
       |      ^ Duplicate Assert
  1117 |         jasmine.objectContaining({
  1118 |           fullName: 'a spec',
  1119 |           status: 'failed',"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 1132, 'column': 6, 'index': 28767}","  1130 |       );
  1131 |
> 1132 |       expect(reporter.specStarted).toHaveBeenCalledWith(
       |      ^ Duplicate Assert
  1133 |         jasmine.objectContaining({
  1134 |           fullName: 'a nested suite a nested spec'
  1135 |         })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 1137, 'column': 6, 'index': 28930}","  1135 |         })
  1136 |       );
> 1137 |       expect(reporter.specDone).toHaveBeenCalledWith(
       |      ^ Duplicate Assert
  1138 |         jasmine.objectContaining({
  1139 |           fullName: 'a nested suite a nested spec',
  1140 |           status: 'failed',"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 1215, 'column': 6, 'index': 31625}","  1213 |       );
  1214 |
> 1215 |       expect(reporter.specStarted).toHaveBeenCalledWith(
       |      ^ Duplicate Assert
  1216 |         jasmine.objectContaining({
  1217 |           fullName: 'a suite a spec'
  1218 |         })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 1220, 'column': 6, 'index': 31774}","  1218 |         })
  1219 |       );
> 1220 |       expect(reporter.specDone).toHaveBeenCalledWith(
       |      ^ Duplicate Assert
  1221 |         jasmine.objectContaining({
  1222 |           fullName: 'a suite a spec',
  1223 |           status: 'failed',"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 1236, 'column': 6, 'index': 32273}","  1234 |       );
  1235 |
> 1236 |       expect(reporter.specStarted).toHaveBeenCalledWith(
       |      ^ Duplicate Assert
  1237 |         jasmine.objectContaining({
  1238 |           fullName: 'a suite a nested suite a nested spec'
  1239 |         })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 1241, 'column': 6, 'index': 32444}","  1239 |         })
  1240 |       );
> 1241 |       expect(reporter.specDone).toHaveBeenCalledWith(
       |      ^ Duplicate Assert
  1242 |         jasmine.objectContaining({
  1243 |           fullName: 'a suite a nested suite a nested spec',
  1244 |           status: 'failed',"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 1366, 'column': 6, 'index': 35856}","  1364 |
  1365 |       await env.execute();
> 1366 |       expect(actions).toEqual(['spec1', 'spec2']);
       |      ^ Duplicate Assert
  1367 |
  1368 |       await env.execute();
  1369 |       expect(actions).toEqual(['spec1', 'spec2', 'spec1', 'spec2']);"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 1369, 'column': 6, 'index': 35935}","  1367 |
  1368 |       await env.execute();
> 1369 |       expect(actions).toEqual(['spec1', 'spec2', 'spec1', 'spec2']);
       |      ^ Duplicate Assert
  1370 |     });
  1371 |
  1372 |     it('should reset results between runs', async function() {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 1426, 'column': 6, 'index': 37556}","  1424 |
  1425 |       await env.execute();
> 1426 |       expect(specResults).toEqual({
       |      ^ Duplicate Assert
  1427 |         spec1: 'failed',
  1428 |         spec2: 'pending',
  1429 |         spec3: 'pending',"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 1435, 'column': 6, 'index': 37780}","  1433 |         spec7: 'pending'
  1434 |       });
> 1435 |       expect(suiteResults).toEqual({
       |      ^ Duplicate Assert
  1436 |         suite0: 'passed',
  1437 |         suite1: 'passed',
  1438 |         suite2: 'passed',"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 1435, 'column': 6, 'index': 37780}","  1433 |         spec7: 'pending'
  1434 |       });
> 1435 |       expect(suiteResults).toEqual({
       |      ^ Duplicate Assert
  1436 |         suite0: 'passed',
  1437 |         suite1: 'passed',
  1438 |         suite2: 'passed',"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 1445, 'column': 6, 'index': 38011}","  1443 |
  1444 |       await env.execute();
> 1445 |       expect(specResults).toEqual({
       |      ^ Duplicate Assert
  1446 |         spec1: 'passed',
  1447 |         spec2: 'passed',
  1448 |         spec3: 'pending',"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 1454, 'column': 6, 'index': 38234}","  1452 |         spec7: 'pending'
  1453 |       });
> 1454 |       expect(suiteResults).toEqual({
       |      ^ Duplicate Assert
  1455 |         suite0: 'passed',
  1456 |         suite1: 'passed',
  1457 |         suite2: 'passed',"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 1454, 'column': 6, 'index': 38234}","  1452 |         spec7: 'pending'
  1453 |       });
> 1454 |       expect(suiteResults).toEqual({
       |      ^ Duplicate Assert
  1455 |         suite0: 'passed',
  1456 |         suite1: 'passed',
  1457 |         suite2: 'passed',"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 1491, 'column': 6, 'index': 39241}","  1489 |       });
  1490 |       await env.execute();
> 1491 |       expect(timeline).toEqual(expectedTimeLine);
       |      ^ Duplicate Assert
  1492 |
  1493 |       timeline = [];
  1494 |       await env.execute();"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 1491, 'column': 6, 'index': 39241}","  1489 |       });
  1490 |       await env.execute();
> 1491 |       expect(timeline).toEqual(expectedTimeLine);
       |      ^ Duplicate Assert
  1492 |
  1493 |       timeline = [];
  1494 |       await env.execute();"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 1495, 'column': 6, 'index': 39340}","  1493 |       timeline = [];
  1494 |       await env.execute();
> 1495 |       expect(timeline).toEqual(expectedTimeLine);
       |      ^ Duplicate Assert
  1496 |     });
  1497 |
  1498 |     it('should be able to filter out different tests in subsequent runs', async function() {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 1495, 'column': 6, 'index': 39340}","  1493 |       timeline = [];
  1494 |       await env.execute();
> 1495 |       expect(timeline).toEqual(expectedTimeLine);
       |      ^ Duplicate Assert
  1496 |     });
  1497 |
  1498 |     it('should be able to filter out different tests in subsequent runs', async function() {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 1521, 'column': 6, 'index': 40024}","  1519 |
  1520 |       await env.execute();
> 1521 |       expect(specResults).toEqual({
       |      ^ Duplicate Assert
  1522 |         spec1: 'passed',
  1523 |         spec2: 'excluded',
  1524 |         spec3: 'excluded'"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 1529, 'column': 6, 'index': 40206}","  1527 |       focussedSpec = 'spec2';
  1528 |       await env.execute();
> 1529 |       expect(specResults).toEqual({
       |      ^ Duplicate Assert
  1530 |         spec1: 'excluded',
  1531 |         spec2: 'passed',
  1532 |         spec3: 'excluded'"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Duplicate Assert,"{'line': 1537, 'column': 6, 'index': 40388}","  1535 |       focussedSpec = 'spec3';
  1536 |       await env.execute();
> 1537 |       expect(specResults).toEqual({
       |      ^ Duplicate Assert
  1538 |         spec1: 'excluded',
  1539 |         spec2: 'excluded',
  1540 |         spec3: 'passed'"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Exception Handling,"{'line': 568, 'column': 10, 'index': 13935}","  566 |           });
  567 |
> 568 |           throw new Error('inner error');
      |          ^ Exception Handling
  569 |         });
  570 |
  571 |         env.describe('inner2', function() {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Exception Handling,"{'line': 577, 'column': 8, 'index': 14157}","  575 |         });
  576 |
> 577 |         throw new Error('outer error');
      |        ^ Exception Handling
  578 |       });
  579 |     }).not.toThrow();
  580 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Exception Handling,"{'line': 787, 'column': 10, 'index': 19321}","  785 |         env.beforeEach(function() {
  786 |           actions.push('outer beforeEach');
> 787 |           throw new Error('error');
      |          ^ Exception Handling
  788 |         });
  789 |
  790 |         env.afterEach(function() {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Exception Handling,"{'line': 931, 'column': 10, 'index': 22936}","  929 |       env.addReporter({
  930 |         specDone: function() {
> 931 |           throw new Error('nope');
      |          ^ Exception Handling
  932 |         }
  933 |       });
  934 |       env.addReporter(laterReporter);"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Exception Handling,"{'line': 947, 'column': 10, 'index': 23462}","  945 |       env.describe('parent suite', function() {
  946 |         env.beforeEach(function() {
> 947 |           throw new Error('nope');
      |          ^ Exception Handling
  948 |         });
  949 |
  950 |         env.afterEach(parentAfterEachFn);"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Exception Handling,"{'line': 1064, 'column': 8, 'index': 26670}","  1062 |
  1063 |       env.beforeAll(function() {
> 1064 |         throw new Error('nope');
       |        ^ Exception Handling
  1065 |       });
  1066 |
  1067 |       env.beforeEach(outerBeforeEach);"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Exception Handling,"{'line': 1167, 'column': 10, 'index': 30114}","  1165 |       env.describe('a suite', function() {
  1166 |         env.beforeAll(function() {
> 1167 |           throw new Error('nope');
       |          ^ Exception Handling
  1168 |         });
  1169 |
  1170 |         env.beforeEach(outerBeforeEach);"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Exception Handling,"{'line': 1265, 'column': 10, 'index': 33362}","  1263 |       env.describe('a nested suite', function() {
  1264 |         env.beforeAll(function() {
> 1265 |           throw new Error('nope');
       |          ^ Exception Handling
  1266 |         });
  1267 |
  1268 |         env.describe('more nesting', function() {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Exception Handling,"{'line': 1406, 'column': 14, 'index': 37033}","  1404 |           env.it('spec4', function() {
  1405 |             if (firstExecution) {
> 1406 |               throw new Error('spec 3 fails');
       |              ^ Exception Handling
  1407 |             }
  1408 |           });
  1409 |         });"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Exception Handling,"{'line': 1412, 'column': 12, 'index': 37200}","  1410 |         env.describe('suite3', function() {
  1411 |           env.beforeEach(function() {
> 1412 |             throw new Error('suite 3 fails');
       |            ^ Exception Handling
  1413 |           });
  1414 |           env.it('spec5', function() {});
  1415 |         });"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Magic Number,"{'line': 59, 'column': 24, 'index': 1531}","  57 |     });
  58 |
> 59 |     expect(foo).toEqual(0);
     |                        ^ Magic Number
  60 |     expect(bar).toEqual(0);
  61 |     expect(baz).toEqual(0);
  62 |     expect(quux).toEqual(0);"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Magic Number,"{'line': 60, 'column': 24, 'index': 1559}","  58 |
  59 |     expect(foo).toEqual(0);
> 60 |     expect(bar).toEqual(0);
     |                        ^ Magic Number
  61 |     expect(baz).toEqual(0);
  62 |     expect(quux).toEqual(0);
  63 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Magic Number,"{'line': 61, 'column': 24, 'index': 1587}","  59 |     expect(foo).toEqual(0);
  60 |     expect(bar).toEqual(0);
> 61 |     expect(baz).toEqual(0);
     |                        ^ Magic Number
  62 |     expect(quux).toEqual(0);
  63 |
  64 |     await env.execute();"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Magic Number,"{'line': 62, 'column': 25, 'index': 1616}","  60 |     expect(bar).toEqual(0);
  61 |     expect(baz).toEqual(0);
> 62 |     expect(quux).toEqual(0);
     |                         ^ Magic Number
  63 |
  64 |     await env.execute();
  65 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Magic Number,"{'line': 66, 'column': 24, 'index': 1671}","  64 |     await env.execute();
  65 |
> 66 |     expect(foo).toEqual(1);
     |                        ^ Magic Number
  67 |     expect(bar).toEqual(1);
  68 |     expect(baz).toEqual(1);
  69 |     expect(quux).toEqual(1);"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Magic Number,"{'line': 67, 'column': 24, 'index': 1699}","  65 |
  66 |     expect(foo).toEqual(1);
> 67 |     expect(bar).toEqual(1);
     |                        ^ Magic Number
  68 |     expect(baz).toEqual(1);
  69 |     expect(quux).toEqual(1);
  70 |   });"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Magic Number,"{'line': 68, 'column': 24, 'index': 1727}","  66 |     expect(foo).toEqual(1);
  67 |     expect(bar).toEqual(1);
> 68 |     expect(baz).toEqual(1);
     |                        ^ Magic Number
  69 |     expect(quux).toEqual(1);
  70 |   });
  71 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Magic Number,"{'line': 69, 'column': 25, 'index': 1756}","  67 |     expect(bar).toEqual(1);
  68 |     expect(baz).toEqual(1);
> 69 |     expect(quux).toEqual(1);
     |                         ^ Magic Number
  70 |   });
  71 |
  72 |   it('should permit nested describes', async function() {"
