file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/redux-offline/src/__tests__/send.js,Duplicate Assert,"{'line': 45, 'column': 4, 'index': 1236}","  43 |   expect.assertions(2);
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/redux-offline/src/__tests__/send.js,Duplicate Assert,"{'line': 120, 'column': 2, 'index': 3981}","  118 |   const { rollback } = action.meta.offline;
  119 |   expect(dispatch).toBeCalledWith(expect.objectContaining(rollback));
> 120 |   expect(dispatch).toBeCalledWith(expect.objectContaining(completedMeta));
      |  ^ Duplicate Assert
  121 | });;
  122 | });
  123 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/redux-offline/src/__tests__/send.js,Duplicate Assert,"{'line': 142, 'column': 6, 'index': 4510}","  140 |
  141 |     return promise.then(() => {
> 142 |       expect(dispatch).toBeCalledWith(expect.objectContaining(defaultCommitAction));
      |      ^ Duplicate Assert
  143 |       expect(dispatch).toBeCalledWith(expect.objectContaining(completedMeta));
  144 |     });
  145 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/redux-offline/src/__tests__/send.js,Duplicate Assert,"{'line': 143, 'column': 6, 'index': 4595}","  141 |     return promise.then(() => {
  142 |       expect(dispatch).toBeCalledWith(expect.objectContaining(defaultCommitAction));
> 143 |       expect(dispatch).toBeCalledWith(expect.objectContaining(completedMeta));
      |      ^ Duplicate Assert
  144 |     });
  145 |   });
  146 | });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/redux-offline/src/__tests__/send.js,Duplicate Assert,"{'line': 167, 'column': 6, 'index': 5187}","  165 |
  166 |     return promise.then(() => {
> 167 |       expect(dispatch).toBeCalledWith(expect.objectContaining(defaultRollbackAction));
      |      ^ Duplicate Assert
  168 |       expect(dispatch).toBeCalledWith(expect.objectContaining(completedMeta));
  169 |     });
  170 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/redux-offline/src/__tests__/send.js,Duplicate Assert,"{'line': 168, 'column': 6, 'index': 5274}","  166 |     return promise.then(() => {
  167 |       expect(dispatch).toBeCalledWith(expect.objectContaining(defaultRollbackAction));
> 168 |       expect(dispatch).toBeCalledWith(expect.objectContaining(completedMeta));
      |      ^ Duplicate Assert
  169 |     });
  170 |   });
  171 | });"
