file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Duplicate Assert,"{'line': 116, 'column': 2, 'index': 3420}","  114 | it(""Duration.fromDurationLike returns a Duration from millis"", () => {
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 22, 'column': 27, 'index': 457}","  20 |   expect(dur.days).toBe(3);
  21 |   expect(dur.hours).toBe(4);
> 22 |   expect(dur.minutes).toBe(5);
     |                           ^ Magic Number
  23 |   expect(dur.seconds).toBe(6);
  24 |   expect(dur.milliseconds).toBe(7);
  25 | });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 23, 'column': 27, 'index': 488}","  21 |   expect(dur.hours).toBe(4);
  22 |   expect(dur.minutes).toBe(5);
> 23 |   expect(dur.seconds).toBe(6);
     |                           ^ Magic Number
  24 |   expect(dur.milliseconds).toBe(7);
  25 | });
  26 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 24, 'column': 32, 'index': 524}","  22 |   expect(dur.minutes).toBe(5);
  23 |   expect(dur.seconds).toBe(6);
> 24 |   expect(dur.milliseconds).toBe(7);
     |                                ^ Magic Number
  25 | });
  26 |
  27 | test(""Duration.fromObject sets all the fractional values"", () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 34, 'column': 25, 'index': 725}","  32 |     hours: 4.5,
  33 |   });
> 34 |   expect(dur.years).toBe(1);
     |                         ^ Magic Number
  35 |   expect(dur.months).toBe(2);
  36 |   expect(dur.days).toBe(3);
  37 |   expect(dur.hours).toBe(4.5);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 35, 'column': 26, 'index': 755}","  33 |   });
  34 |   expect(dur.years).toBe(1);
> 35 |   expect(dur.months).toBe(2);
     |                          ^ Magic Number
  36 |   expect(dur.days).toBe(3);
  37 |   expect(dur.hours).toBe(4.5);
  38 |   expect(dur.minutes).toBe(0);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 36, 'column': 24, 'index': 783}","  34 |   expect(dur.years).toBe(1);
  35 |   expect(dur.months).toBe(2);
> 36 |   expect(dur.days).toBe(3);
     |                        ^ Magic Number
  37 |   expect(dur.hours).toBe(4.5);
  38 |   expect(dur.minutes).toBe(0);
  39 |   expect(dur.seconds).toBe(0);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 37, 'column': 25, 'index': 812}","  35 |   expect(dur.months).toBe(2);
  36 |   expect(dur.days).toBe(3);
> 37 |   expect(dur.hours).toBe(4.5);
     |                         ^ Magic Number
  38 |   expect(dur.minutes).toBe(0);
  39 |   expect(dur.seconds).toBe(0);
  40 |   expect(dur.milliseconds).toBe(0);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 38, 'column': 27, 'index': 845}","  36 |   expect(dur.days).toBe(3);
  37 |   expect(dur.hours).toBe(4.5);
> 38 |   expect(dur.minutes).toBe(0);
     |                           ^ Magic Number
  39 |   expect(dur.seconds).toBe(0);
  40 |   expect(dur.milliseconds).toBe(0);
  41 | });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 39, 'column': 27, 'index': 876}","  37 |   expect(dur.hours).toBe(4.5);
  38 |   expect(dur.minutes).toBe(0);
> 39 |   expect(dur.seconds).toBe(0);
     |                           ^ Magic Number
  40 |   expect(dur.milliseconds).toBe(0);
  41 | });
  42 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 40, 'column': 32, 'index': 912}","  38 |   expect(dur.minutes).toBe(0);
  39 |   expect(dur.seconds).toBe(0);
> 40 |   expect(dur.milliseconds).toBe(0);
     |                                ^ Magic Number
  41 | });
  42 |
  43 | test(""Duration.fromObject sets all the values from the object having string type values"", () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 53, 'column': 25, 'index': 1209}","  51 |     milliseconds: ""7"",
  52 |   });
> 53 |   expect(dur.years).toBe(1);
     |                         ^ Magic Number
  54 |   expect(dur.months).toBe(2);
  55 |   expect(dur.days).toBe(3);
  56 |   expect(dur.hours).toBe(4);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 54, 'column': 26, 'index': 1239}","  52 |   });
  53 |   expect(dur.years).toBe(1);
> 54 |   expect(dur.months).toBe(2);
     |                          ^ Magic Number
  55 |   expect(dur.days).toBe(3);
  56 |   expect(dur.hours).toBe(4);
  57 |   expect(dur.minutes).toBe(5);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 55, 'column': 24, 'index': 1267}","  53 |   expect(dur.years).toBe(1);
  54 |   expect(dur.months).toBe(2);
> 55 |   expect(dur.days).toBe(3);
     |                        ^ Magic Number
  56 |   expect(dur.hours).toBe(4);
  57 |   expect(dur.minutes).toBe(5);
  58 |   expect(dur.seconds).toBe(6);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 56, 'column': 25, 'index': 1296}","  54 |   expect(dur.months).toBe(2);
  55 |   expect(dur.days).toBe(3);
> 56 |   expect(dur.hours).toBe(4);
     |                         ^ Magic Number
  57 |   expect(dur.minutes).toBe(5);
  58 |   expect(dur.seconds).toBe(6);
  59 |   expect(dur.milliseconds).toBe(7);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 57, 'column': 27, 'index': 1327}","  55 |   expect(dur.days).toBe(3);
  56 |   expect(dur.hours).toBe(4);
> 57 |   expect(dur.minutes).toBe(5);
     |                           ^ Magic Number
  58 |   expect(dur.seconds).toBe(6);
  59 |   expect(dur.milliseconds).toBe(7);
  60 | });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 58, 'column': 27, 'index': 1358}","  56 |   expect(dur.hours).toBe(4);
  57 |   expect(dur.minutes).toBe(5);
> 58 |   expect(dur.seconds).toBe(6);
     |                           ^ Magic Number
  59 |   expect(dur.milliseconds).toBe(7);
  60 | });
  61 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 59, 'column': 32, 'index': 1394}","  57 |   expect(dur.minutes).toBe(5);
  58 |   expect(dur.seconds).toBe(6);
> 59 |   expect(dur.milliseconds).toBe(7);
     |                                ^ Magic Number
  60 | });
  61 |
  62 | test(""Duration.fromObject accepts a conversionAccuracy"", () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 75, 'column': 25, 'index': 1974}","  73 | test(""Duration.fromObject({}) constructs zero duration"", () => {
  74 |   const dur = Duration.fromObject({});
> 75 |   expect(dur.years).toBe(0);
     |                         ^ Magic Number
  76 |   expect(dur.months).toBe(0);
  77 |   expect(dur.days).toBe(0);
  78 |   expect(dur.hours).toBe(0);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 76, 'column': 26, 'index': 2004}","  74 |   const dur = Duration.fromObject({});
  75 |   expect(dur.years).toBe(0);
> 76 |   expect(dur.months).toBe(0);
     |                          ^ Magic Number
  77 |   expect(dur.days).toBe(0);
  78 |   expect(dur.hours).toBe(0);
  79 |   expect(dur.minutes).toBe(0);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 77, 'column': 24, 'index': 2032}","  75 |   expect(dur.years).toBe(0);
  76 |   expect(dur.months).toBe(0);
> 77 |   expect(dur.days).toBe(0);
     |                        ^ Magic Number
  78 |   expect(dur.hours).toBe(0);
  79 |   expect(dur.minutes).toBe(0);
  80 |   expect(dur.seconds).toBe(0);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 78, 'column': 25, 'index': 2061}","  76 |   expect(dur.months).toBe(0);
  77 |   expect(dur.days).toBe(0);
> 78 |   expect(dur.hours).toBe(0);
     |                         ^ Magic Number
  79 |   expect(dur.minutes).toBe(0);
  80 |   expect(dur.seconds).toBe(0);
  81 |   expect(dur.milliseconds).toBe(0);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 79, 'column': 27, 'index': 2092}","  77 |   expect(dur.days).toBe(0);
  78 |   expect(dur.hours).toBe(0);
> 79 |   expect(dur.minutes).toBe(0);
     |                           ^ Magic Number
  80 |   expect(dur.seconds).toBe(0);
  81 |   expect(dur.milliseconds).toBe(0);
  82 | });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 80, 'column': 27, 'index': 2123}","  78 |   expect(dur.hours).toBe(0);
  79 |   expect(dur.minutes).toBe(0);
> 80 |   expect(dur.seconds).toBe(0);
     |                           ^ Magic Number
  81 |   expect(dur.milliseconds).toBe(0);
  82 | });
  83 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 81, 'column': 32, 'index': 2159}","  79 |   expect(dur.minutes).toBe(0);
  80 |   expect(dur.seconds).toBe(0);
> 81 |   expect(dur.milliseconds).toBe(0);
     |                                ^ Magic Number
  82 | });
  83 |
  84 | test(""Duration.fromObject throws if the initial object has invalid keys"", () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 100, 'column': 25, 'index': 3029}","   98 | test(""Duration.fromObject is valid if providing options only"", () => {
   99 |   const dur = Duration.fromObject({}, { conversionAccuracy: ""longterm"" });
> 100 |   expect(dur.years).toBe(0);
      |                         ^ Magic Number
  101 |   expect(dur.months).toBe(0);
  102 |   expect(dur.days).toBe(0);
  103 |   expect(dur.hours).toBe(0);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 101, 'column': 26, 'index': 3059}","   99 |   const dur = Duration.fromObject({}, { conversionAccuracy: ""longterm"" });
  100 |   expect(dur.years).toBe(0);
> 101 |   expect(dur.months).toBe(0);
      |                          ^ Magic Number
  102 |   expect(dur.days).toBe(0);
  103 |   expect(dur.hours).toBe(0);
  104 |   expect(dur.minutes).toBe(0);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 102, 'column': 24, 'index': 3087}","  100 |   expect(dur.years).toBe(0);
  101 |   expect(dur.months).toBe(0);
> 102 |   expect(dur.days).toBe(0);
      |                        ^ Magic Number
  103 |   expect(dur.hours).toBe(0);
  104 |   expect(dur.minutes).toBe(0);
  105 |   expect(dur.seconds).toBe(0);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 103, 'column': 25, 'index': 3116}","  101 |   expect(dur.months).toBe(0);
  102 |   expect(dur.days).toBe(0);
> 103 |   expect(dur.hours).toBe(0);
      |                         ^ Magic Number
  104 |   expect(dur.minutes).toBe(0);
  105 |   expect(dur.seconds).toBe(0);
  106 |   expect(dur.milliseconds).toBe(0);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 104, 'column': 27, 'index': 3147}","  102 |   expect(dur.days).toBe(0);
  103 |   expect(dur.hours).toBe(0);
> 104 |   expect(dur.minutes).toBe(0);
      |                           ^ Magic Number
  105 |   expect(dur.seconds).toBe(0);
  106 |   expect(dur.milliseconds).toBe(0);
  107 |   expect(dur.isValid).toBe(true);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 105, 'column': 27, 'index': 3178}","  103 |   expect(dur.hours).toBe(0);
  104 |   expect(dur.minutes).toBe(0);
> 105 |   expect(dur.seconds).toBe(0);
      |                           ^ Magic Number
  106 |   expect(dur.milliseconds).toBe(0);
  107 |   expect(dur.isValid).toBe(true);
  108 | });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/duration/create.test.js,Magic Number,"{'line': 106, 'column': 32, 'index': 3214}","  104 |   expect(dur.minutes).toBe(0);
  105 |   expect(dur.seconds).toBe(0);
> 106 |   expect(dur.milliseconds).toBe(0);
      |                                ^ Magic Number
  107 |   expect(dur.isValid).toBe(true);
  108 | });
  109 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 51, 'column': 2, 'index': 1206}","  49 | test(""DateTime.fromISO() optionally adopts the UTC offset provided"", () => {
  50 |   let dt = DateTime.fromISO(""2016-05-25T09:08:34.123+06:00"", { setZone: true });
> 51 |   expect(dt.zone.name).toBe(""UTC+6"");
     |  ^ Duplicate Assert
  52 |   expect(dt.toObject()).toEqual({
  53 |     year: 2016,
  54 |     month: 5,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 52, 'column': 2, 'index': 1244}","  50 |   let dt = DateTime.fromISO(""2016-05-25T09:08:34.123+06:00"", { setZone: true });
  51 |   expect(dt.zone.name).toBe(""UTC+6"");
> 52 |   expect(dt.toObject()).toEqual({
     |  ^ Duplicate Assert
  53 |     year: 2016,
  54 |     month: 5,
  55 |     day: 25,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 52, 'column': 2, 'index': 1244}","  50 |   let dt = DateTime.fromISO(""2016-05-25T09:08:34.123+06:00"", { setZone: true });
  51 |   expect(dt.zone.name).toBe(""UTC+6"");
> 52 |   expect(dt.toObject()).toEqual({
     |  ^ Duplicate Assert
  53 |     year: 2016,
  54 |     month: 5,
  55 |     day: 25,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 63, 'column': 2, 'index': 1459}","  61 |
  62 |   dt = DateTime.fromISO(""1983-10-14T13:30Z"", { setZone: true });
> 63 |   expect(dt.zone.name).toBe(""UTC"");
     |  ^ Duplicate Assert
  64 |   expect(dt.offset).toBe(0);
  65 |   expect(dt.toObject()).toEqual({
  66 |     year: 1983,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 63, 'column': 2, 'index': 1459}","  61 |
  62 |   dt = DateTime.fromISO(""1983-10-14T13:30Z"", { setZone: true });
> 63 |   expect(dt.zone.name).toBe(""UTC"");
     |  ^ Duplicate Assert
  64 |   expect(dt.offset).toBe(0);
  65 |   expect(dt.toObject()).toEqual({
  66 |     year: 1983,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 64, 'column': 2, 'index': 1495}","  62 |   dt = DateTime.fromISO(""1983-10-14T13:30Z"", { setZone: true });
  63 |   expect(dt.zone.name).toBe(""UTC"");
> 64 |   expect(dt.offset).toBe(0);
     |  ^ Duplicate Assert
  65 |   expect(dt.toObject()).toEqual({
  66 |     year: 1983,
  67 |     month: 10,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 64, 'column': 2, 'index': 1495}","  62 |   dt = DateTime.fromISO(""1983-10-14T13:30Z"", { setZone: true });
  63 |   expect(dt.zone.name).toBe(""UTC"");
> 64 |   expect(dt.offset).toBe(0);
     |  ^ Duplicate Assert
  65 |   expect(dt.toObject()).toEqual({
  66 |     year: 1983,
  67 |     month: 10,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 65, 'column': 2, 'index': 1524}","  63 |   expect(dt.zone.name).toBe(""UTC"");
  64 |   expect(dt.offset).toBe(0);
> 65 |   expect(dt.toObject()).toEqual({
     |  ^ Duplicate Assert
  66 |     year: 1983,
  67 |     month: 10,
  68 |     day: 14,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 65, 'column': 2, 'index': 1524}","  63 |   expect(dt.zone.name).toBe(""UTC"");
  64 |   expect(dt.offset).toBe(0);
> 65 |   expect(dt.toObject()).toEqual({
     |  ^ Duplicate Assert
  66 |     year: 1983,
  67 |     month: 10,
  68 |     day: 14,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 77, 'column': 2, 'index': 1764}","  75 |   // #1610 - lowercase z
  76 |   dt = DateTime.fromISO(""1983-10-14T13:30z"", { setZone: true });
> 77 |   expect(dt.zone.name).toBe(""UTC"");
     |  ^ Duplicate Assert
  78 |   expect(dt.offset).toBe(0);
  79 |   expect(dt.toObject()).toEqual({
  80 |     year: 1983,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 77, 'column': 2, 'index': 1764}","  75 |   // #1610 - lowercase z
  76 |   dt = DateTime.fromISO(""1983-10-14T13:30z"", { setZone: true });
> 77 |   expect(dt.zone.name).toBe(""UTC"");
     |  ^ Duplicate Assert
  78 |   expect(dt.offset).toBe(0);
  79 |   expect(dt.toObject()).toEqual({
  80 |     year: 1983,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 78, 'column': 2, 'index': 1800}","  76 |   dt = DateTime.fromISO(""1983-10-14T13:30z"", { setZone: true });
  77 |   expect(dt.zone.name).toBe(""UTC"");
> 78 |   expect(dt.offset).toBe(0);
     |  ^ Duplicate Assert
  79 |   expect(dt.toObject()).toEqual({
  80 |     year: 1983,
  81 |     month: 10,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 78, 'column': 2, 'index': 1800}","  76 |   dt = DateTime.fromISO(""1983-10-14T13:30z"", { setZone: true });
  77 |   expect(dt.zone.name).toBe(""UTC"");
> 78 |   expect(dt.offset).toBe(0);
     |  ^ Duplicate Assert
  79 |   expect(dt.toObject()).toEqual({
  80 |     year: 1983,
  81 |     month: 10,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 79, 'column': 2, 'index': 1829}","  77 |   expect(dt.zone.name).toBe(""UTC"");
  78 |   expect(dt.offset).toBe(0);
> 79 |   expect(dt.toObject()).toEqual({
     |  ^ Duplicate Assert
  80 |     year: 1983,
  81 |     month: 10,
  82 |     day: 14,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 79, 'column': 2, 'index': 1829}","  77 |   expect(dt.zone.name).toBe(""UTC"");
  78 |   expect(dt.offset).toBe(0);
> 79 |   expect(dt.toObject()).toEqual({
     |  ^ Duplicate Assert
  80 |     year: 1983,
  81 |     month: 10,
  82 |     day: 14,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 91, 'column': 2, 'index': 2066}","  89 |   // #580
  90 |   dt = DateTime.fromISO(""2016-05-25T09:08:34.123-00:30"", { setZone: true });
> 91 |   expect(dt.zone.name).toBe(""UTC-0:30"");
     |  ^ Duplicate Assert
  92 |   expect(dt.toObject()).toEqual({
  93 |     year: 2016,
  94 |     month: 5,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 92, 'column': 2, 'index': 2107}","  90 |   dt = DateTime.fromISO(""2016-05-25T09:08:34.123-00:30"", { setZone: true });
  91 |   expect(dt.zone.name).toBe(""UTC-0:30"");
> 92 |   expect(dt.toObject()).toEqual({
     |  ^ Duplicate Assert
  93 |     year: 2016,
  94 |     month: 5,
  95 |     day: 25,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 92, 'column': 2, 'index': 2107}","  90 |   dt = DateTime.fromISO(""2016-05-25T09:08:34.123-00:30"", { setZone: true });
  91 |   expect(dt.zone.name).toBe(""UTC-0:30"");
> 92 |   expect(dt.toObject()).toEqual({
     |  ^ Duplicate Assert
  93 |     year: 2016,
  94 |     month: 5,
  95 |     day: 25,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 105, 'column': 2, 'index': 2399}","  103 | test(""DateTime.fromISO() can optionally specify a zone"", () => {
  104 |   let dt = DateTime.fromISO(""2016-05-25T09:08:34.123"", { zone: ""utc"" });
> 105 |   expect(dt.offset).toEqual(0);
      |  ^ Duplicate Assert
  106 |   expect(dt.toObject()).toEqual({
  107 |     year: 2016,
  108 |     month: 5,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 105, 'column': 2, 'index': 2399}","  103 | test(""DateTime.fromISO() can optionally specify a zone"", () => {
  104 |   let dt = DateTime.fromISO(""2016-05-25T09:08:34.123"", { zone: ""utc"" });
> 105 |   expect(dt.offset).toEqual(0);
      |  ^ Duplicate Assert
  106 |   expect(dt.toObject()).toEqual({
  107 |     year: 2016,
  108 |     month: 5,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 106, 'column': 2, 'index': 2431}","  104 |   let dt = DateTime.fromISO(""2016-05-25T09:08:34.123"", { zone: ""utc"" });
  105 |   expect(dt.offset).toEqual(0);
> 106 |   expect(dt.toObject()).toEqual({
      |  ^ Duplicate Assert
  107 |     year: 2016,
  108 |     month: 5,
  109 |     day: 25,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 117, 'column': 2, 'index': 2656}","  115 |
  116 |   dt = DateTime.fromISO(""2016-05-25T09:08:34.123+06:00"", { zone: ""utc"" });
> 117 |   expect(dt.offset).toEqual(0);
      |  ^ Duplicate Assert
  118 |   expect(dt.toObject()).toEqual({
  119 |     year: 2016,
  120 |     month: 5,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 117, 'column': 2, 'index': 2656}","  115 |
  116 |   dt = DateTime.fromISO(""2016-05-25T09:08:34.123+06:00"", { zone: ""utc"" });
> 117 |   expect(dt.offset).toEqual(0);
      |  ^ Duplicate Assert
  118 |   expect(dt.toObject()).toEqual({
  119 |     year: 2016,
  120 |     month: 5,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 118, 'column': 2, 'index': 2688}","  116 |   dt = DateTime.fromISO(""2016-05-25T09:08:34.123+06:00"", { zone: ""utc"" });
  117 |   expect(dt.offset).toEqual(0);
> 118 |   expect(dt.toObject()).toEqual({
      |  ^ Duplicate Assert
  119 |     year: 2016,
  120 |     month: 5,
  121 |     day: 25,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 564, 'column': 2, 'index': 10651}","  562 |     setZone: true,
  563 |   });
> 564 |   expect(dt.isValid).toBe(true);
      |  ^ Duplicate Assert
  565 |   expect(dt.zoneName).toBe(""Europe/Paris"");
  566 |   expect(dt.toObject()).toEqual({
  567 |     year: 2016,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 564, 'column': 2, 'index': 10651}","  562 |     setZone: true,
  563 |   });
> 564 |   expect(dt.isValid).toBe(true);
      |  ^ Duplicate Assert
  565 |   expect(dt.zoneName).toBe(""Europe/Paris"");
  566 |   expect(dt.toObject()).toEqual({
  567 |     year: 2016,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/datetime/regexParse.test.js,Duplicate Assert,"{'line': 565, 'column': 2, 'index': 10684}","  563 |   });
  564 |   expect(dt.isValid).toBe(true);
> 565 |   expect(dt.zoneName).toBe(""Europe/Paris"");
      |  ^ Duplicate Assert
  566 |   expect(dt.toObject()).toEqual({
  567 |     year: 2016,
  568 |     month: 5,"
