file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/unit.js,Ignored Test,"{'line': 175, 'column': 9, 'index': 5830}","  173 | }
  283 |         delete response.headers.etag
  284 |         delete response.headers['last-modified']"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 281, 'column': 8, 'index': 8873}","  279 |         expectedResponse.body = Buffer.from(samLogoBase64, 'base64')
  280 |         expectedResponse.isBase64Encoded = false
> 281 |         expect(response.headers.etag).toMatch(etagRegex)
      |        ^ Duplicate Assert
  282 |         expect(response.headers['last-modified']).toMatch(lastModifiedRegex)
  283 |         delete response.headers.etag
  284 |         delete response.headers['last-modified']"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 282, 'column': 8, 'index': 8930}","  280 |         expectedResponse.isBase64Encoded = false
  281 |         expect(response.headers.etag).toMatch(etagRegex)
> 282 |         expect(response.headers['last-modified']).toMatch(lastModifiedRegex)
      |        ^ Duplicate Assert
  283 |         delete response.headers.etag
  284 |         delete response.headers['last-modified']
  285 |         break"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 282, 'column': 8, 'index': 8930}","  280 |         expectedResponse.isBase64Encoded = false
  281 |         expect(response.headers.etag).toMatch(etagRegex)
> 282 |         expect(response.headers['last-modified']).toMatch(lastModifiedRegex)
      |        ^ Duplicate Assert
  283 |         delete response.headers.etag
  284 |         delete response.headers['last-modified']
  285 |         break"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 287, 'column': 8, 'index': 9134}","  285 |         break
  286 |       case 'apiGatewayV2':
> 287 |         expect(response.headers.etag).toMatch(etagRegex)
      |        ^ Duplicate Assert
  288 |         expect(response.headers['last-modified']).toMatch(lastModifiedRegex)
  289 |         delete response.headers.etag
  290 |         delete response.headers['last-modified']"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 287, 'column': 8, 'index': 9134}","  285 |         break
  286 |       case 'apiGatewayV2':
> 287 |         expect(response.headers.etag).toMatch(etagRegex)
      |        ^ Duplicate Assert
  288 |         expect(response.headers['last-modified']).toMatch(lastModifiedRegex)
  289 |         delete response.headers.etag
  290 |         delete response.headers['last-modified']"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 288, 'column': 8, 'index': 9191}","  286 |       case 'apiGatewayV2':
  287 |         expect(response.headers.etag).toMatch(etagRegex)
> 288 |         expect(response.headers['last-modified']).toMatch(lastModifiedRegex)
      |        ^ Duplicate Assert
  289 |         delete response.headers.etag
  290 |         delete response.headers['last-modified']
  291 |         break"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 288, 'column': 8, 'index': 9191}","  286 |       case 'apiGatewayV2':
  287 |         expect(response.headers.etag).toMatch(etagRegex)
> 288 |         expect(response.headers['last-modified']).toMatch(lastModifiedRegex)
      |        ^ Duplicate Assert
  289 |         delete response.headers.etag
  290 |         delete response.headers['last-modified']
  291 |         break"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 589, 'column': 6, 'index': 17487}","  587 |       loggerError.debug('nocall')
  588 |       loggerError.verbose('nocall')
> 589 |       expect(global.console.warn).not.toHaveBeenCalled()
      |      ^ Duplicate Assert
  590 |       expect(global.console.debug).not.toHaveBeenCalled()
  591 |       expect(global.console.info).not.toHaveBeenCalled()
  592 |       expect(global.console.error).toHaveBeenLastCalledWith({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 590, 'column': 6, 'index': 17544}","  588 |       loggerError.verbose('nocall')
  589 |       expect(global.console.warn).not.toHaveBeenCalled()
> 590 |       expect(global.console.debug).not.toHaveBeenCalled()
      |      ^ Duplicate Assert
  591 |       expect(global.console.info).not.toHaveBeenCalled()
  592 |       expect(global.console.error).toHaveBeenLastCalledWith({
  593 |         message: 'error'"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 590, 'column': 6, 'index': 17544}","  588 |       loggerError.verbose('nocall')
  589 |       expect(global.console.warn).not.toHaveBeenCalled()
> 590 |       expect(global.console.debug).not.toHaveBeenCalled()
      |      ^ Duplicate Assert
  591 |       expect(global.console.info).not.toHaveBeenCalled()
  592 |       expect(global.console.error).toHaveBeenLastCalledWith({
  593 |         message: 'error'"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 591, 'column': 6, 'index': 17602}","  589 |       expect(global.console.warn).not.toHaveBeenCalled()
  590 |       expect(global.console.debug).not.toHaveBeenCalled()
> 591 |       expect(global.console.info).not.toHaveBeenCalled()
      |      ^ Duplicate Assert
  592 |       expect(global.console.error).toHaveBeenLastCalledWith({
  593 |         message: 'error'
  594 |       })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 591, 'column': 6, 'index': 17602}","  589 |       expect(global.console.warn).not.toHaveBeenCalled()
  590 |       expect(global.console.debug).not.toHaveBeenCalled()
> 591 |       expect(global.console.info).not.toHaveBeenCalled()
      |      ^ Duplicate Assert
  592 |       expect(global.console.error).toHaveBeenLastCalledWith({
  593 |         message: 'error'
  594 |       })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 592, 'column': 6, 'index': 17659}","  590 |       expect(global.console.debug).not.toHaveBeenCalled()
  591 |       expect(global.console.info).not.toHaveBeenCalled()
> 592 |       expect(global.console.error).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  593 |         message: 'error'
  594 |       })
  595 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 603, 'column': 6, 'index': 17989}","  601 |       loggerWarn.debug('nocall')
  602 |       loggerWarn.verbose('nocall')
> 603 |       expect(global.console.debug).not.toHaveBeenCalled()
      |      ^ Duplicate Assert
  604 |       expect(global.console.info).not.toHaveBeenCalled()
  605 |       expect(global.console.error).toHaveBeenLastCalledWith({
  606 |         message: 'error2'"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 603, 'column': 6, 'index': 17989}","  601 |       loggerWarn.debug('nocall')
  602 |       loggerWarn.verbose('nocall')
> 603 |       expect(global.console.debug).not.toHaveBeenCalled()
      |      ^ Duplicate Assert
  604 |       expect(global.console.info).not.toHaveBeenCalled()
  605 |       expect(global.console.error).toHaveBeenLastCalledWith({
  606 |         message: 'error2'"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 604, 'column': 6, 'index': 18047}","  602 |       loggerWarn.verbose('nocall')
  603 |       expect(global.console.debug).not.toHaveBeenCalled()
> 604 |       expect(global.console.info).not.toHaveBeenCalled()
      |      ^ Duplicate Assert
  605 |       expect(global.console.error).toHaveBeenLastCalledWith({
  606 |         message: 'error2'
  607 |       })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 604, 'column': 6, 'index': 18047}","  602 |       loggerWarn.verbose('nocall')
  603 |       expect(global.console.debug).not.toHaveBeenCalled()
> 604 |       expect(global.console.info).not.toHaveBeenCalled()
      |      ^ Duplicate Assert
  605 |       expect(global.console.error).toHaveBeenLastCalledWith({
  606 |         message: 'error2'
  607 |       })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 605, 'column': 6, 'index': 18104}","  603 |       expect(global.console.debug).not.toHaveBeenCalled()
  604 |       expect(global.console.info).not.toHaveBeenCalled()
> 605 |       expect(global.console.error).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  606 |         message: 'error2'
  607 |       })
  608 |       expect(global.console.warn).toHaveBeenLastCalledWith({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 608, 'column': 6, 'index': 18201}","  606 |         message: 'error2'
  607 |       })
> 608 |       expect(global.console.warn).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  609 |         message: 'warn2'
  610 |       })
  611 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 619, 'column': 6, 'index': 18529}","  617 |       loggerInfo.debug('nocall')
  618 |       loggerInfo.verbose('nocall')
> 619 |       expect(global.console.debug).not.toHaveBeenCalled()
      |      ^ Duplicate Assert
  620 |       expect(global.console.error).toHaveBeenLastCalledWith({
  621 |         message: 'error3'
  622 |       })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 619, 'column': 6, 'index': 18529}","  617 |       loggerInfo.debug('nocall')
  618 |       loggerInfo.verbose('nocall')
> 619 |       expect(global.console.debug).not.toHaveBeenCalled()
      |      ^ Duplicate Assert
  620 |       expect(global.console.error).toHaveBeenLastCalledWith({
  621 |         message: 'error3'
  622 |       })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 620, 'column': 6, 'index': 18587}","  618 |       loggerInfo.verbose('nocall')
  619 |       expect(global.console.debug).not.toHaveBeenCalled()
> 620 |       expect(global.console.error).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  621 |         message: 'error3'
  622 |       })
  623 |       expect(global.console.warn).toHaveBeenLastCalledWith({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 623, 'column': 6, 'index': 18684}","  621 |         message: 'error3'
  622 |       })
> 623 |       expect(global.console.warn).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  624 |         message: 'warn3'
  625 |       })
  626 |       expect(global.console.info).toHaveBeenLastCalledWith({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 626, 'column': 6, 'index': 18779}","  624 |         message: 'warn3'
  625 |       })
> 626 |       expect(global.console.info).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  627 |         message: 'info3'
  628 |       })
  629 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 637, 'column': 6, 'index': 19130}","  635 |       loggerVerbose.verbose('verbose4')
  636 |       loggerVerbose.debug('nocall')
> 637 |       expect(global.console.error).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  638 |         message: 'error4'
  639 |       })
  640 |       expect(global.console.warn).toHaveBeenLastCalledWith({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 640, 'column': 6, 'index': 19227}","  638 |         message: 'error4'
  639 |       })
> 640 |       expect(global.console.warn).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  641 |         message: 'warn4'
  642 |       })
  643 |       expect(global.console.info).toHaveBeenLastCalledWith({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 643, 'column': 6, 'index': 19322}","  641 |         message: 'warn4'
  642 |       })
> 643 |       expect(global.console.info).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  644 |         message: 'info4'
  645 |       })
  646 |       expect(global.console.debug).toHaveBeenLastCalledWith({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 646, 'column': 6, 'index': 19417}","  644 |         message: 'info4'
  645 |       })
> 646 |       expect(global.console.debug).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  647 |         message: 'verbose4'
  648 |       })
  649 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 657, 'column': 6, 'index': 19758}","  655 |       loggerDebug.verbose('verbose5')
  656 |       loggerDebug.debug('debug5')
> 657 |       expect(global.console.error).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  658 |         message: 'error5'
  659 |       })
  660 |       expect(global.console.warn).toHaveBeenLastCalledWith({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 660, 'column': 6, 'index': 19855}","  658 |         message: 'error5'
  659 |       })
> 660 |       expect(global.console.warn).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  661 |         message: 'warn5'
  662 |       })
  663 |       expect(global.console.info).toHaveBeenLastCalledWith({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 663, 'column': 6, 'index': 19950}","  661 |         message: 'warn5'
  662 |       })
> 663 |       expect(global.console.info).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  664 |         message: 'info5'
  665 |       })
  666 |       expect(global.console.debug).toHaveBeenLastCalledWith({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 666, 'column': 6, 'index': 20045}","  664 |         message: 'info5'
  665 |       })
> 666 |       expect(global.console.debug).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  667 |         message: 'debug5'
  668 |       })
  669 |     })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 679, 'column': 6, 'index': 20429}","  677 |       logger.debug('array', ['message'])
  678 |
> 679 |       expect(global.console.debug).toHaveBeenNthCalledWith(
      |      ^ Duplicate Assert
  680 |         1,
  681 |         {
  682 |           message: 'simple message'"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 685, 'column': 6, 'index': 20564}","  683 |         }
  684 |       )
> 685 |       expect(global.console.debug).toHaveBeenNthCalledWith(
      |      ^ Duplicate Assert
  686 |         2,
  687 |         {
  688 |           message: 'debug',"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 693, 'column': 6, 'index': 20735}","  691 |         }
  692 |       )
> 693 |       expect(global.console.debug).toHaveBeenNthCalledWith(
      |      ^ Duplicate Assert
  694 |         3,
  695 |         {
  696 |           message: 'debug'"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 699, 'column': 6, 'index': 20861}","  697 |         }
  698 |       )
> 699 |       expect(global.console.debug).toHaveBeenNthCalledWith(
      |      ^ Duplicate Assert
  700 |         4,
  701 |         {
  702 |           message: 'array',"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Exception Handling,"{'line': 441, 'column': 4, 'index': 13655}","  439 |     jest.useFakeTimers('modern')
  440 |     jest.setSystemTime(date)
> 441 |     try {
      |    ^ Exception Handling
  442 |       return await fn()
  443 |     } finally {
  444 |       jest.useRealTimers()"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Ignored Test,"{'line': 423, 'column': 7, 'index': 13127}","  421 |   })
  422 |
> 423 |   test.skip('respondToEventSourceWithError', async () => {
      |       ^ Ignored Test
  424 |     const response = await serverlessExpressInstance(null)
  425 |     expect(response).toEqual({
  426 |       statusCode: 500,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Magic Number,"{'line': 270, 'column': 63, 'index': 8318}","  268 |       case 'alb':
  269 |       case 'apiGatewayV1':
> 270 |         expect(response.multiValueHeaders.etag.length).toEqual(1)
      |                                                               ^ Magic Number
  271 |         expect(response.multiValueHeaders.etag[0]).toMatch(etagRegex)
  272 |         expect(response.multiValueHeaders['last-modified'].length).toEqual(1)
  273 |         expect(response.multiValueHeaders['last-modified'][0]).toMatch(lastModifiedRegex)"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Magic Number,"{'line': 272, 'column': 75, 'index': 8466}","  270 |         expect(response.multiValueHeaders.etag.length).toEqual(1)
  271 |         expect(response.multiValueHeaders.etag[0]).toMatch(etagRegex)
> 272 |         expect(response.multiValueHeaders['last-modified'].length).toEqual(1)
      |                                                                           ^ Magic Number
  273 |         expect(response.multiValueHeaders['last-modified'][0]).toMatch(lastModifiedRegex)
  274 |         delete response.multiValueHeaders.etag
  275 |         delete response.multiValueHeaders['last-modified']"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Magic Number,"{'line': 293, 'column': 53, 'index': 9438}","  291 |         break
  292 |       case 'lambdaEdge':
> 293 |         expect(response.headers.etag.length).toEqual(1)
      |                                                     ^ Magic Number
  294 |         expect(response.headers.etag[0].key).toMatch('etag')
  295 |         expect(response.headers.etag[0].value).toMatch(etagRegex)
  296 |         expect(response.headers['last-modified'].length).toEqual(1)"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Magic Number,"{'line': 296, 'column': 65, 'index': 9633}","  294 |         expect(response.headers.etag[0].key).toMatch('etag')
  295 |         expect(response.headers.etag[0].value).toMatch(etagRegex)
> 296 |         expect(response.headers['last-modified'].length).toEqual(1)
      |                                                                 ^ Magic Number
  297 |         expect(response.headers['last-modified'][0].key).toMatch('last-modified')
  298 |         expect(response.headers['last-modified'][0].value).toMatch(lastModifiedRegex)
  299 |         delete response.headers.etag"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Magic Number,"{'line': 568, 'column': 56, 'index': 16812}","  566 |       await serverlessExpressInstance(event)
  567 |
> 568 |       expect(customLogger.debug.mock.calls.length).toBe(6)
      |                                                        ^ Magic Number
  569 |
  570 |       // TODO: test log levels
  571 |       // customLogger.level = 'error'"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Mystery Guest,"{'column': 25, 'line': 252}","  250 |     const response = await serverlessExpressInstance(event)
  251 |
> 252 |     const samLogoImage = fs.readFileSync(samLogoPath)
      |                         ^ Mystery Guest
  253 |     const samLogoBase64 = Buffer.from(samLogoImage).toString('base64')
  254 |     const expectedResponse = makeResponse({
  255 |       eventSourceName,"
