file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/unit.js,Ignored Test,"{'line': 175, 'column': 9, 'index': 5830}","  173 | }
  282 |         expect(response.headers['last-modified']).toMatch(lastModifiedRegex)
  283 |         delete response.headers.etag
  284 |         delete response.headers['last-modified']"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 282, 'column': 8, 'index': 8930}","  280 |         expectedResponse.isBase64Encoded = false
  281 |         expect(response.headers.etag).toMatch(etagRegex)
> 282 |         expect(response.headers['last-modified']).toMatch(lastModifiedRegex)
      |        ^ Duplicate Assert
  283 |         delete response.headers.etag
  284 |         delete response.headers['last-modified']
  285 |         break"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 282, 'column': 8, 'index': 8930}","  280 |         expectedResponse.isBase64Encoded = false
  281 |         expect(response.headers.etag).toMatch(etagRegex)
> 282 |         expect(response.headers['last-modified']).toMatch(lastModifiedRegex)
      |        ^ Duplicate Assert
  283 |         delete response.headers.etag
  284 |         delete response.headers['last-modified']
  285 |         break"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 287, 'column': 8, 'index': 9134}","  285 |         break
  286 |       case 'apiGatewayV2':
> 287 |         expect(response.headers.etag).toMatch(etagRegex)
      |        ^ Duplicate Assert
  288 |         expect(response.headers['last-modified']).toMatch(lastModifiedRegex)
  289 |         delete response.headers.etag
  290 |         delete response.headers['last-modified']"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 287, 'column': 8, 'index': 9134}","  285 |         break
  286 |       case 'apiGatewayV2':
> 287 |         expect(response.headers.etag).toMatch(etagRegex)
      |        ^ Duplicate Assert
  288 |         expect(response.headers['last-modified']).toMatch(lastModifiedRegex)
  289 |         delete response.headers.etag
  290 |         delete response.headers['last-modified']"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 288, 'column': 8, 'index': 9191}","  286 |       case 'apiGatewayV2':
  287 |         expect(response.headers.etag).toMatch(etagRegex)
> 288 |         expect(response.headers['last-modified']).toMatch(lastModifiedRegex)
      |        ^ Duplicate Assert
  289 |         delete response.headers.etag
  290 |         delete response.headers['last-modified']
  291 |         break"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 288, 'column': 8, 'index': 9191}","  286 |       case 'apiGatewayV2':
  287 |         expect(response.headers.etag).toMatch(etagRegex)
> 288 |         expect(response.headers['last-modified']).toMatch(lastModifiedRegex)
      |        ^ Duplicate Assert
  289 |         delete response.headers.etag
  290 |         delete response.headers['last-modified']
  291 |         break"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 569, 'column': 6, 'index': 17106}","  567 |       loggerError.debug('nocall')
  568 |       loggerError.verbose('nocall')
> 569 |       expect(global.console.warn).not.toHaveBeenCalled()
      |      ^ Duplicate Assert
  570 |       expect(global.console.debug).not.toHaveBeenCalled()
  571 |       expect(global.console.info).not.toHaveBeenCalled()
  572 |       expect(global.console.error).toHaveBeenLastCalledWith({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 570, 'column': 6, 'index': 17163}","  568 |       loggerError.verbose('nocall')
  569 |       expect(global.console.warn).not.toHaveBeenCalled()
> 570 |       expect(global.console.debug).not.toHaveBeenCalled()
      |      ^ Duplicate Assert
  571 |       expect(global.console.info).not.toHaveBeenCalled()
  572 |       expect(global.console.error).toHaveBeenLastCalledWith({
  573 |         message: 'error'"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 570, 'column': 6, 'index': 17163}","  568 |       loggerError.verbose('nocall')
  569 |       expect(global.console.warn).not.toHaveBeenCalled()
> 570 |       expect(global.console.debug).not.toHaveBeenCalled()
      |      ^ Duplicate Assert
  571 |       expect(global.console.info).not.toHaveBeenCalled()
  572 |       expect(global.console.error).toHaveBeenLastCalledWith({
  573 |         message: 'error'"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 571, 'column': 6, 'index': 17221}","  569 |       expect(global.console.warn).not.toHaveBeenCalled()
  570 |       expect(global.console.debug).not.toHaveBeenCalled()
> 571 |       expect(global.console.info).not.toHaveBeenCalled()
      |      ^ Duplicate Assert
  572 |       expect(global.console.error).toHaveBeenLastCalledWith({
  573 |         message: 'error'
  574 |       })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 571, 'column': 6, 'index': 17221}","  569 |       expect(global.console.warn).not.toHaveBeenCalled()
  570 |       expect(global.console.debug).not.toHaveBeenCalled()
> 571 |       expect(global.console.info).not.toHaveBeenCalled()
      |      ^ Duplicate Assert
  572 |       expect(global.console.error).toHaveBeenLastCalledWith({
  573 |         message: 'error'
  574 |       })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 572, 'column': 6, 'index': 17278}","  570 |       expect(global.console.debug).not.toHaveBeenCalled()
  571 |       expect(global.console.info).not.toHaveBeenCalled()
> 572 |       expect(global.console.error).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  573 |         message: 'error'
  574 |       })
  575 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 583, 'column': 6, 'index': 17608}","  581 |       loggerWarn.debug('nocall')
  582 |       loggerWarn.verbose('nocall')
> 583 |       expect(global.console.debug).not.toHaveBeenCalled()
      |      ^ Duplicate Assert
  584 |       expect(global.console.info).not.toHaveBeenCalled()
  585 |       expect(global.console.error).toHaveBeenLastCalledWith({
  586 |         message: 'error2'"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 583, 'column': 6, 'index': 17608}","  581 |       loggerWarn.debug('nocall')
  582 |       loggerWarn.verbose('nocall')
> 583 |       expect(global.console.debug).not.toHaveBeenCalled()
      |      ^ Duplicate Assert
  584 |       expect(global.console.info).not.toHaveBeenCalled()
  585 |       expect(global.console.error).toHaveBeenLastCalledWith({
  586 |         message: 'error2'"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 584, 'column': 6, 'index': 17666}","  582 |       loggerWarn.verbose('nocall')
  583 |       expect(global.console.debug).not.toHaveBeenCalled()
> 584 |       expect(global.console.info).not.toHaveBeenCalled()
      |      ^ Duplicate Assert
  585 |       expect(global.console.error).toHaveBeenLastCalledWith({
  586 |         message: 'error2'
  587 |       })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 584, 'column': 6, 'index': 17666}","  582 |       loggerWarn.verbose('nocall')
  583 |       expect(global.console.debug).not.toHaveBeenCalled()
> 584 |       expect(global.console.info).not.toHaveBeenCalled()
      |      ^ Duplicate Assert
  585 |       expect(global.console.error).toHaveBeenLastCalledWith({
  586 |         message: 'error2'
  587 |       })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 585, 'column': 6, 'index': 17723}","  583 |       expect(global.console.debug).not.toHaveBeenCalled()
  584 |       expect(global.console.info).not.toHaveBeenCalled()
> 585 |       expect(global.console.error).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  586 |         message: 'error2'
  587 |       })
  588 |       expect(global.console.warn).toHaveBeenLastCalledWith({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 588, 'column': 6, 'index': 17820}","  586 |         message: 'error2'
  587 |       })
> 588 |       expect(global.console.warn).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  589 |         message: 'warn2'
  590 |       })
  591 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 599, 'column': 6, 'index': 18148}","  597 |       loggerInfo.debug('nocall')
  598 |       loggerInfo.verbose('nocall')
> 599 |       expect(global.console.debug).not.toHaveBeenCalled()
      |      ^ Duplicate Assert
  600 |       expect(global.console.error).toHaveBeenLastCalledWith({
  601 |         message: 'error3'
  602 |       })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 599, 'column': 6, 'index': 18148}","  597 |       loggerInfo.debug('nocall')
  598 |       loggerInfo.verbose('nocall')
> 599 |       expect(global.console.debug).not.toHaveBeenCalled()
      |      ^ Duplicate Assert
  600 |       expect(global.console.error).toHaveBeenLastCalledWith({
  601 |         message: 'error3'
  602 |       })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 600, 'column': 6, 'index': 18206}","  598 |       loggerInfo.verbose('nocall')
  599 |       expect(global.console.debug).not.toHaveBeenCalled()
> 600 |       expect(global.console.error).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  601 |         message: 'error3'
  602 |       })
  603 |       expect(global.console.warn).toHaveBeenLastCalledWith({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 603, 'column': 6, 'index': 18303}","  601 |         message: 'error3'
  602 |       })
> 603 |       expect(global.console.warn).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  604 |         message: 'warn3'
  605 |       })
  606 |       expect(global.console.info).toHaveBeenLastCalledWith({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 606, 'column': 6, 'index': 18398}","  604 |         message: 'warn3'
  605 |       })
> 606 |       expect(global.console.info).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  607 |         message: 'info3'
  608 |       })
  609 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 617, 'column': 6, 'index': 18749}","  615 |       loggerVerbose.verbose('verbose4')
  616 |       loggerVerbose.debug('nocall')
> 617 |       expect(global.console.error).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  618 |         message: 'error4'
  619 |       })
  620 |       expect(global.console.warn).toHaveBeenLastCalledWith({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 620, 'column': 6, 'index': 18846}","  618 |         message: 'error4'
  619 |       })
> 620 |       expect(global.console.warn).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  621 |         message: 'warn4'
  622 |       })
  623 |       expect(global.console.info).toHaveBeenLastCalledWith({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 623, 'column': 6, 'index': 18941}","  621 |         message: 'warn4'
  622 |       })
> 623 |       expect(global.console.info).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  624 |         message: 'info4'
  625 |       })
  626 |       expect(global.console.debug).toHaveBeenLastCalledWith({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 626, 'column': 6, 'index': 19036}","  624 |         message: 'info4'
  625 |       })
> 626 |       expect(global.console.debug).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  627 |         message: 'verbose4'
  628 |       })
  629 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 637, 'column': 6, 'index': 19377}","  635 |       loggerDebug.verbose('verbose5')
  636 |       loggerDebug.debug('debug5')
> 637 |       expect(global.console.error).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  638 |         message: 'error5'
  639 |       })
  640 |       expect(global.console.warn).toHaveBeenLastCalledWith({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 640, 'column': 6, 'index': 19474}","  638 |         message: 'error5'
  639 |       })
> 640 |       expect(global.console.warn).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  641 |         message: 'warn5'
  642 |       })
  643 |       expect(global.console.info).toHaveBeenLastCalledWith({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 643, 'column': 6, 'index': 19569}","  641 |         message: 'warn5'
  642 |       })
> 643 |       expect(global.console.info).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  644 |         message: 'info5'
  645 |       })
  646 |       expect(global.console.debug).toHaveBeenLastCalledWith({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 646, 'column': 6, 'index': 19664}","  644 |         message: 'info5'
  645 |       })
> 646 |       expect(global.console.debug).toHaveBeenLastCalledWith({
      |      ^ Duplicate Assert
  647 |         message: 'debug5'
  648 |       })
  649 |     })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 659, 'column': 6, 'index': 20048}","  657 |       logger.debug('array', ['message'])
  658 |
> 659 |       expect(global.console.debug).toHaveBeenNthCalledWith(
      |      ^ Duplicate Assert
  660 |         1,
  661 |         {
  662 |           message: 'simple message'"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 665, 'column': 6, 'index': 20183}","  663 |         }
  664 |       )
> 665 |       expect(global.console.debug).toHaveBeenNthCalledWith(
      |      ^ Duplicate Assert
  666 |         2,
  667 |         {
  668 |           message: 'debug',"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 673, 'column': 6, 'index': 20354}","  671 |         }
  672 |       )
> 673 |       expect(global.console.debug).toHaveBeenNthCalledWith(
      |      ^ Duplicate Assert
  674 |         3,
  675 |         {
  676 |           message: 'debug'"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 679, 'column': 6, 'index': 20480}","  677 |         }
  678 |       )
> 679 |       expect(global.console.debug).toHaveBeenNthCalledWith(
      |      ^ Duplicate Assert
  680 |         4,
  681 |         {
  682 |           message: 'array',"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Ignored Test,"{'line': 423, 'column': 7, 'index': 13127}","  421 |   })
  422 |
> 423 |   test.skip('respondToEventSourceWithError', async () => {
      |       ^ Ignored Test
  424 |     const response = await serverlessExpressInstance(null)
  425 |     expect(response).toEqual({
  426 |       statusCode: 500,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Magic Number,"{'line': 270, 'column': 63, 'index': 8318}","  268 |       case 'alb':
  269 |       case 'apiGatewayV1':
> 270 |         expect(response.multiValueHeaders.etag.length).toEqual(1)
      |                                                               ^ Magic Number
  271 |         expect(response.multiValueHeaders.etag[0]).toMatch(etagRegex)
  272 |         expect(response.multiValueHeaders['last-modified'].length).toEqual(1)
  273 |         expect(response.multiValueHeaders['last-modified'][0]).toMatch(lastModifiedRegex)"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Magic Number,"{'line': 272, 'column': 75, 'index': 8466}","  270 |         expect(response.multiValueHeaders.etag.length).toEqual(1)
  271 |         expect(response.multiValueHeaders.etag[0]).toMatch(etagRegex)
> 272 |         expect(response.multiValueHeaders['last-modified'].length).toEqual(1)
      |                                                                           ^ Magic Number
  273 |         expect(response.multiValueHeaders['last-modified'][0]).toMatch(lastModifiedRegex)
  274 |         delete response.multiValueHeaders.etag
  275 |         delete response.multiValueHeaders['last-modified']"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Magic Number,"{'line': 293, 'column': 53, 'index': 9438}","  291 |         break
  292 |       case 'lambdaEdge':
> 293 |         expect(response.headers.etag.length).toEqual(1)
      |                                                     ^ Magic Number
  294 |         expect(response.headers.etag[0].key).toMatch('etag')
  295 |         expect(response.headers.etag[0].value).toMatch(etagRegex)
  296 |         expect(response.headers['last-modified'].length).toEqual(1)"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Magic Number,"{'line': 296, 'column': 65, 'index': 9633}","  294 |         expect(response.headers.etag[0].key).toMatch('etag')
  295 |         expect(response.headers.etag[0].value).toMatch(etagRegex)
> 296 |         expect(response.headers['last-modified'].length).toEqual(1)
      |                                                                 ^ Magic Number
  297 |         expect(response.headers['last-modified'][0].key).toMatch('last-modified')
  298 |         expect(response.headers['last-modified'][0].value).toMatch(lastModifiedRegex)
  299 |         delete response.headers.etag"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Magic Number,"{'line': 548, 'column': 56, 'index': 16431}","  546 |       await serverlessExpressInstance(event)
  547 |
> 548 |       expect(customLogger.debug.mock.calls.length).toBe(6)
      |                                                        ^ Magic Number
  549 |
  550 |       // TODO: test log levels
  551 |       // customLogger.level = 'error'"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Mystery Guest,"{'column': 25, 'line': 252}","  250 |     const response = await serverlessExpressInstance(event)
  251 |
> 252 |     const samLogoImage = fs.readFileSync(samLogoPath)
      |                         ^ Mystery Guest
  253 |     const samLogoBase64 = Buffer.from(samLogoImage).toString('base64')
  254 |     const expectedResponse = makeResponse({
  255 |       eventSourceName,"
