file,type,line,frame
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/lozad.js/test/index.js,Assertion Roulette,"{'column': 6, 'line': 63}","  61 |       const image = document.querySelectorAll('img')[0]
  315 |   })
  316 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/lozad.js/test/index.js,Assertion Roulette,"{'column': 6, 'line': 428}","  426 |       const el = document.querySelectorAll('video')[0]
  427 |       observer.observe()
> 428 |       assert.strictEqual(true, el.classList.contains('test'))
      |      ^ Assertion Roulette
  429 |       assert.strictEqual(el.dataset.poster, el.poster)
  430 |     })
  431 |   })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/lozad.js/test/index.js,Assertion Roulette,"{'column': 6, 'line': 429}","  427 |       observer.observe()
  428 |       assert.strictEqual(true, el.classList.contains('test'))
> 429 |       assert.strictEqual(el.dataset.poster, el.poster)
      |      ^ Assertion Roulette
  430 |     })
  431 |   })
  432 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/lozad.js/test/index.js,Assertion Roulette,"{'column': 6, 'line': 445}","  443 |       const observer = lozad()
  444 |
> 445 |       assert.strictEqual(true, Object.keys(observer).includes('observer'))
      |      ^ Assertion Roulette
  446 |       assert.strictEqual(
  447 |         true,
  448 |         Object.keys(observer).includes('mutationObserver')"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/lozad.js/test/index.js,Assertion Roulette,"{'column': 6, 'line': 446}","  444 |
  445 |       assert.strictEqual(true, Object.keys(observer).includes('observer'))
> 446 |       assert.strictEqual(
      |      ^ Assertion Roulette
  447 |         true,
  448 |         Object.keys(observer).includes('mutationObserver')
  449 |       )"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/lozad.js/test/index.js,Magic Number,"{'line': 151, 'column': 39, 'index': 4807}","  149 |       const observer = lozad(nodes)
  150 |       observer.observe()
> 151 |       assert.strictEqual(nodes.length, 2)
      |                                       ^ Magic Number
  152 |       nodes.forEach(node => {
  153 |         assert.strictEqual('true', node.dataset.loaded)
  154 |         assert.strictEqual(node.getAttribute('src'), node.dataset.src)"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/lozad.js/test/index.js,Sleepy Test,"{'line': 109, 'column': 6, 'index': 3388}","  107 |       assert.strictEqual(node.getAttribute('src'), node.dataset.src)
  108 |       node.dataset.src = newSrc
> 109 |       setTimeout(() => {
      |      ^ Sleepy Test
  110 |         assert.notStrictEqual(node.getAttribute('src'), newSrc)
  111 |         done()
  112 |       }, 200) // Reduzido o tempo para o teste rodar mais rápido"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/lozad.js/test/index.js,Sleepy Test,"{'line': 125, 'column': 6, 'index': 3941}","  123 |       observer.observe()
  124 |       node.dataset.src = newSrc
> 125 |       setTimeout(() => {
      |      ^ Sleepy Test
  126 |         assert.strictEqual(node.getAttribute('src'), newSrc)
  127 |         done()
  128 |       }, 200) // Reduzido o tempo para o teste rodar mais rápido"
